epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.358,0.85119,34.3966,0.89223,0.00032,0.175,0.00053,6e-05,1.63109,75.3762,1.42768,0.00041584,0.00041584,0.00041584
2,275.423,0.97051,16.3715,1.00348,0.00943,0.125,0.00673,0.00605,1.35654,11.2842,1.00505,0.000750088,0.000750088,0.000750088
3,388.4,0.86882,5.24787,0.96149,0,0,0,0,1.33791,4.94545,0.92737,0.00100184,0.00100184,0.00100184
4,501.629,0.86625,2.59896,0.89185,0.03571,0.125,0.02718,0.02446,1.43553,3.52644,0.91475,0.00087875,0.00087875,0.00087875
5,615.942,0.74074,2.04566,0.84108,0.02174,0.25,0.03466,0.0312,1.33217,2.88468,1.02748,0.000755,0.000755,0.000755
6,729.177,0.80411,1.90147,0.8461,0.02041,0.5,0.04941,0.04447,1.27174,2.87761,0.88752,0.00063125,0.00063125,0.00063125
7,1353.23,0.67442,1.71011,0.71428,0,0,0,0,0.97278,2.72312,0.85026,0.0005075,0.0005075,0.0005075
8,1429.11,0.75714,1.76011,0.81014,0,0,0,0,1.36376,11.6737,1.0889,0.00038375,0.00038375,0.00038375
9,1507.85,0.77767,1.7298,0.84709,0.01724,0.5,0.03996,0.03597,1.31918,2.7028,0.86787,0.00026,0.00026,0.00026
10,1588.19,0.68558,1.62516,0.73716,0.01695,0.5,0.14009,0.12608,1.27857,2.58779,0.94981,0.00013625,0.00013625,0.00013625
