Class,Confidence,x1,y1,x2,y2
vegetation,0.67608964,447,22,493,73
vegetation,0.6665458,371,25,446,83
vegetation,0.6398433,3,0,640,576
vegetation,0.613829,553,0,608,23
crack,0.54705757,0,0,640,576
vegetation,0.5333846,561,471,635,499
crack,0.5123166,35,448,78,492
crack,0.49517435,43,362,70,384
crack,0.461332,2,454,40,489
crack,0.42575818,393,293,454,345
vegetation,0.41717756,478,33,517,76
vegetation,0.3548967,485,338,533,393
crack,0.3178585,44,426,63,442
vegetation,0.31052142,447,22,513,77
crack,0.30923003,27,397,47,410
crack,0.30827278,0,399,15,424
vegetation,0.2890595,527,114,602,179
crack,0.28407922,0,326,20,351
crack,0.2784769,15,275,33,295
crack,0.26608565,41,355,70,385
